Oyuncu,Takim,Ana_Mevki,Yas,Piyasa_Degeri_Euro,Gol,Asist,Gol_Beklentisi_xG,Mac_Sayisi,Oynadigi_Sure_Dk,Uyruk,Genel_Pozisyon,Lig,Ilk_11,90_Dk_Sayisi,Skor_Katkisi,Penaltisiz_Gol,Penalti_Gol,Penalti_Kullanimi,Sari_Kart,Kirmizi_Kart,Penaltisiz_Gol_Beklentisi_npxG,Asist_Beklentisi_xAG,Penaltisiz_Toplam_Beklenti,Top_Surme_Mesafe,Ileri_Pas_Sayisi,Ileri_Pas_Alma,Mac_Basi_Gol,Mac_Basi_Asist,Mac_Basi_Skor_Katkisi,Mac_Basi_Penaltisiz_Gol,Mac_Basi_Penaltisiz_Skor,Mac_Basi_xG,Mac_Basi_Asist_Beklentisi,Mac_Basi_Toplam_Beklenti,Mac_Basi_Penaltisiz_xG,Mac_Basi_Penaltisiz_Toplam_Beklenti,Boy_m,Ayak,Yas_Detay,Top_Calma_Toplam,Kazanilan_Top_Calma,Top_Calma_Defans_Bolgesi,Top_Calma_Orta_Saha,Top_Calma_Hucum_Bolgesi,Dribbling_Kesme,Calim_Yeme,Blok_Toplam,Sut_Blogu,Pas_Blogu,Pas_Arasi,Uzaklastirma,Hata_Gol_Yediren
Andreas Hountondji,St Pauli,Santrafor,23.0,5000000.0,4.0,0.0,1.8,11.0,553.0,BEN,FW,Bundesliga (ALM),8.0,6.1,4.0,4.0,0.0,1.0,1.0,0.0,0.9,0.1,1.1,17.0,7.0,54.0,0.65,0.0,0.65,0.65,0.65,0.3,0.02,0.32,0.15,0.18,1.9,Sag ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karol Mets,St Pauli,Stoper,32.0,900000.0,0.0,0.0,0.1,8.0,627.0,EST,DF,Bundesliga (ALM),7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,8.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,1.91,Sol ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martijn Kaars,St Pauli,Santrafor,26.0,4000000.0,2.0,0.0,1.4,12.0,589.0,NED,FW,Bundesliga (ALM),6.0,6.5,2.0,2.0,0.0,0.0,0.0,0.0,1.4,0.1,1.5,13.0,9.0,49.0,0.31,0.0,0.31,0.31,0.31,0.21,0.02,0.23,0.21,0.23,1.83,Sag ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Dzwigała,St Pauli,Stoper,30.0,900000.0,1.0,0.0,0.1,8.0,499.0,POL,DF,Bundesliga (ALM),5.0,5.5,1.0,1.0,0.0,0.0,3.0,0.0,0.1,0.0,0.1,2.0,19.0,4.0,0.18,0.0,0.18,0.18,0.18,0.02,0.0,0.02,0.02,0.02,1.85,Sag ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manolis Saliakas,St Pauli,Sag Bek,29.0,3000000.0,0.0,1.0,0.2,8.0,451.0,GRE,DF,Bundesliga (ALM),4.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,9.0,27.0,22.0,0.0,0.2,0.2,0.0,0.2,0.03,0.04,0.07,0.03,0.07,1.77,Sag ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackson Irvine,St Pauli,Merkez Orta Saha,32.0,2000000.0,0.0,0.0,0.2,7.0,345.0,AUS,MF,Bundesliga (ALM),4.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,4.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.13,0.06,0.13,1.89,Sag ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lars Ritzka,St Pauli,Sol Bek,27.0,1000000.0,0.0,0.0,0.0,7.0,312.0,GER,DF,Bundesliga (ALM),4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,Sol ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Metcalfe,St Pauli,Merkez Orta Saha,26.0,2500000.0,0.0,1.0,0.4,14.0,274.0,AUS,MF,Bundesliga (ALM),1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.8,8.0,15.0,31.0,0.0,0.33,0.33,0.0,0.33,0.15,0.1,0.25,0.15,0.25,1.83,Sol ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oladapo Afolayan,St Pauli,Sag Kanat,27.0,3000000.0,0.0,0.0,0.6,7.0,150.0,ENG,MF,Bundesliga (ALM),1.0,1.7,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.1,0.7,7.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.37,0.08,0.45,0.37,0.45,1.8,Sag ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulie Ceesay,St Pauli,Santrafor,21.0,500000.0,0.0,0.0,0.4,10.0,193.0,GAM,FW,Bundesliga (ALM),0.0,2.1,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.0,0.4,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,1.85,Sag ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricky Jade-Jones,St Pauli,Santrafor,24.0,900000.0,1.0,0.0,0.0,2.0,37.0,ENG,FW,Bundesliga (ALM),0.0,0.4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.43,0.0,2.43,2.43,2.43,0.08,0.0,0.08,0.08,0.08,1.83,Sag ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Mainka,Heidenheim,Stoper,31.0,3000000.0,1.0,1.0,1.6,14.0,1260.0,GER,DF,Bundesliga (ALM),14.0,14.0,2.0,1.0,0.0,0.0,1.0,0.0,1.6,0.7,2.3,3.0,38.0,7.0,0.07,0.07,0.14,0.07,0.14,0.12,0.05,0.17,0.12,0.17,1.94,Sag ayak,31-041,22.0,15.0,17.0,4.0,1.0,16.0,3.0,30.0,19.0,11.0,16.0,102.0,1.0
Jonas Fohrenbach,Heidenheim,Sol Bek,29.0,1500000.0,1.0,1.0,0.4,14.0,1224.0,GER,DF,Bundesliga (ALM),13.0,13.6,2.0,1.0,0.0,0.0,1.0,0.0,0.4,1.5,1.9,16.0,38.0,40.0,0.07,0.07,0.15,0.07,0.15,0.03,0.11,0.14,0.03,0.14,1.84,Sol ayak,29-325,20.0,13.0,13.0,4.0,3.0,13.0,8.0,18.0,3.0,15.0,14.0,44.0,0.0
Arijon Ibrahimovic,Heidenheim,On Numara,20.0,4000000.0,0.0,2.0,2.4,14.0,1050.0,GER,MF,Bundesliga (ALM),12.0,11.7,2.0,0.0,0.0,0.0,1.0,0.0,2.4,2.0,4.4,33.0,46.0,69.0,0.0,0.17,0.17,0.0,0.17,0.21,0.17,0.38,0.21,0.38,1.78,Sag ayak,20-006,13.0,5.0,6.0,6.0,1.0,9.0,14.0,14.0,2.0,12.0,7.0,12.0,0.0
Jan Schoppner,Heidenheim,Merkez Orta Saha,26.0,4000000.0,1.0,0.0,0.6,13.0,973.0,GER,MF,Bundesliga (ALM),12.0,10.8,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.9,1.5,10.0,28.0,33.0,0.09,0.0,0.09,0.09,0.09,0.05,0.09,0.14,0.05,0.14,1.9,Sag ayak,26-188,14.0,7.0,9.0,4.0,1.0,8.0,18.0,11.0,4.0,7.0,16.0,32.0,2.0
Niklas Dorsch,Heidenheim,On Libero,27.0,3500000.0,0.0,0.0,0.4,13.0,809.0,GER,MF,Bundesliga (ALM),10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.6,8.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,1.78,Sag ayak,27-336,18.0,7.0,9.0,7.0,2.0,6.0,8.0,8.0,2.0,6.0,9.0,11.0,3.0
Tim Siersleben,Heidenheim,Stoper,25.0,2000000.0,0.0,0.0,0.2,11.0,825.0,GER,DF,Bundesliga (ALM),9.0,9.2,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.5,0.8,9.0,41.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.08,0.03,0.08,1.87,Sol ayak,25-283,19.0,14.0,12.0,7.0,0.0,11.0,9.0,10.0,6.0,4.0,18.0,61.0,0.0
Omar Traore,Heidenheim,Sag Bek,27.0,4000000.0,0.0,2.0,0.2,14.0,818.0,GER,DF,Bundesliga (ALM),8.0,9.1,2.0,0.0,0.0,0.0,2.0,0.0,0.2,1.1,1.3,18.0,49.0,36.0,0.0,0.22,0.22,0.0,0.22,0.02,0.12,0.15,0.02,0.15,1.87,Sag ayak,27-316,9.0,4.0,8.0,1.0,0.0,6.0,7.0,10.0,1.0,9.0,7.0,13.0,0.0
Marnon Busch,Heidenheim,Sag Bek,31.0,1200000.0,0.0,2.0,0.6,14.0,781.0,GER,DF,Bundesliga (ALM),7.0,8.7,2.0,0.0,0.0,0.0,1.0,0.0,0.6,1.3,1.9,13.0,34.0,25.0,0.0,0.23,0.23,0.0,0.23,0.06,0.15,0.22,0.06,0.22,1.82,Sag ayak,31-009,13.0,8.0,8.0,4.0,1.0,6.0,7.0,15.0,6.0,9.0,12.0,38.0,0.0
Mathias Honsak,Heidenheim,Sol Kanat,28.0,2000000.0,0.0,0.0,1.3,11.0,603.0,AUT,FW,Bundesliga (ALM),7.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.3,1.5,11.0,10.0,31.0,0.0,0.0,0.0,0.0,0.0,0.19,0.04,0.23,0.19,0.23,1.88,Sol ayak,28-362,11.0,7.0,9.0,0.0,2.0,5.0,2.0,6.0,1.0,5.0,9.0,13.0,0.0
Julian Niehues,Heidenheim,On Libero,24.0,1500000.0,0.0,0.0,0.3,10.0,580.0,GER,MF,Bundesliga (ALM),7.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,9.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1,1.95,Sag ayak,24-244,6.0,3.0,3.0,2.0,1.0,5.0,5.0,6.0,1.0,5.0,11.0,17.0,0.0
Benedikt Gimber,Heidenheim,Stoper,28.0,3000000.0,0.0,0.0,0.0,9.0,498.0,GER,DF,Bundesliga (ALM),7.0,5.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,Sol ayak,28-301,9.0,5.0,7.0,2.0,0.0,7.0,4.0,8.0,3.0,5.0,2.0,23.0,0.0
Adrian Beck,Heidenheim,On Numara,28.0,2000000.0,0.0,0.0,0.3,12.0,523.0,GER,MF,Bundesliga (ALM),6.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.7,14.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.12,0.05,0.12,1.86,Sag ayak,28-191,9.0,7.0,2.0,6.0,1.0,4.0,8.0,6.0,2.0,4.0,2.0,5.0,0.0
Budu Zivzivadze,Heidenheim,Santrafor,31.0,2000000.0,1.0,0.0,1.8,8.0,377.0,GEO,FW,Bundesliga (ALM),6.0,4.2,1.0,1.0,0.0,0.0,0.0,1.0,1.8,0.1,1.9,4.0,8.0,14.0,0.24,0.0,0.24,0.24,0.24,0.43,0.03,0.46,0.43,0.46,1.89,Cift ayak,31-282,3.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,4.0,0.0
Mikkel Kaufmann,Heidenheim,Santrafor,24.0,1800000.0,1.0,1.0,1.0,8.0,388.0,DEN,FW,Bundesliga (ALM),5.0,4.3,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.9,1.9,2.0,8.0,16.0,0.23,0.23,0.46,0.23,0.46,0.23,0.21,0.44,0.23,0.44,1.89,Sag ayak,24-348,3.0,2.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,4.0,1.0,6.0,0.0
Marvin Pieringer,Heidenheim,Santrafor,26.0,5500000.0,1.0,0.0,1.6,8.0,422.0,GER,FW,Bundesliga (ALM),4.0,4.7,1.0,1.0,0.0,0.0,1.0,0.0,1.6,0.3,1.8,7.0,8.0,28.0,0.21,0.0,0.21,0.21,0.21,0.33,0.06,0.39,0.33,0.39,1.91,Sag ayak,26-074,9.0,7.0,4.0,4.0,1.0,5.0,1.0,3.0,1.0,2.0,4.0,9.0,0.0
Luca Kerber,Heidenheim,Merkez Orta Saha,23.0,2500000.0,0.0,0.0,0.4,8.0,331.0,GER,MF,Bundesliga (ALM),4.0,3.7,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.2,0.6,3.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.16,0.1,0.16,1.84,Sag ayak,23-282,6.0,5.0,2.0,1.0,3.0,2.0,3.0,5.0,2.0,3.0,2.0,6.0,1.0
Thomas Keller,Heidenheim,Stoper,26.0,500000.0,0.0,0.0,0.0,4.0,188.0,GER,DF,Bundesliga (ALM),3.0,2.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,1.86,Sag ayak,26-134,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,13.0,0.0
Sirlord Conteh,Heidenheim,Sag Kanat,29.0,1500000.0,1.0,1.0,1.3,4.0,235.0,GER,FW,Bundesliga (ALM),2.0,2.6,2.0,1.0,0.0,0.0,1.0,0.0,1.3,0.6,1.9,4.0,3.0,17.0,0.38,0.38,0.77,0.38,0.77,0.49,0.24,0.72,0.49,0.72,1.78,Sag ayak,29-161,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
Stefan Schimmer,Heidenheim,Santrafor,31.0,500000.0,4.0,1.0,3.0,9.0,341.0,GER,FW,Bundesliga (ALM),1.0,3.8,5.0,4.0,0.0,0.0,1.0,0.0,3.0,1.8,4.8,3.0,9.0,20.0,1.06,0.26,1.32,1.06,1.32,0.79,0.48,1.26,0.79,1.26,1.85,Sag ayak,31-233,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,8.0,0.0
Leart Paqarada,Heidenheim,Sol Bek,31.0,1500000.0,0.0,0.0,0.0,1.0,6.0,KVX,DF,Bundesliga (ALM),1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,Sol ayak,31-070,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Kolle,Heidenheim,Stoper,19.0,800000.0,1.0,0.0,0.4,5.0,77.0,GER,DF,Bundesliga (ALM),0.0,0.9,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.1,0.5,0.0,3.0,2.0,1.17,0.0,1.17,1.17,1.17,0.5,0.07,0.57,0.5,0.57,1.95,Sag ayak,19-233,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0
Yannik Wagner,Heidenheim,Sol Kanat,18.0,500000.0,0.0,0.0,0.0,3.0,39.0,GER,MF,Bundesliga (ALM),0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,1.39,1.44,0.04,1.44,1.82,Sol ayak,18-222,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaishu Sano,Mainz 05,On Libero,24.0,25000000.0,1.0,1.0,0.7,14.0,1260.0,JPN,MF,Bundesliga (ALM),14.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.7,1.6,2.3,20.0,85.0,31.0,0.07,0.07,0.14,0.07,0.14,0.05,0.11,0.16,0.05,0.16,1.76,Sag ayak,24-352,18.0,14.0,10.0,7.0,1.0,12.0,8.0,15.0,6.0,9.0,30.0,24.0,0.0
Phillipp Mwene,Mainz 05,Sol Bek,31.0,1800000.0,0.0,0.0,0.5,13.0,1037.0,AUT,DF,Bundesliga (ALM),13.0,11.5,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.7,1.2,11.0,36.0,56.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.11,0.04,0.11,1.7,Sag ayak,31-322,8.0,7.0,8.0,0.0,0.0,3.0,10.0,21.0,3.0,18.0,4.0,23.0,0.0
Danny da Costa,Mainz 05,Stoper,32.0,1500000.0,1.0,0.0,0.6,14.0,1139.0,GER,DF,Bundesliga (ALM),12.0,12.7,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.4,1.0,9.0,63.0,10.0,0.08,0.0,0.08,0.08,0.08,0.05,0.03,0.08,0.05,0.08,1.87,Sag ayak,32-157,12.0,6.0,7.0,4.0,1.0,6.0,9.0,16.0,9.0,7.0,15.0,71.0,0.0
Nadiem Amiri,Mainz 05,Merkez Orta Saha,29.0,20000000.0,3.0,1.0,3.1,12.0,1034.0,GER,MF,Bundesliga (ALM),12.0,11.5,4.0,0.0,3.0,3.0,5.0,0.0,0.7,1.6,2.3,20.0,96.0,26.0,0.26,0.09,0.35,0.0,0.09,0.27,0.14,0.41,0.06,0.2,1.8,Sag ayak,29-051,21.0,12.0,9.0,8.0,4.0,10.0,6.0,18.0,3.0,15.0,11.0,9.0,0.0
Dominik Kohr,Mainz 05,Stoper,31.0,3500000.0,1.0,0.0,0.8,10.0,805.0,GER,DF,Bundesliga (ALM),10.0,8.9,1.0,1.0,0.0,0.0,5.0,2.0,0.8,0.8,1.6,6.0,48.0,11.0,0.11,0.0,0.11,0.11,0.11,0.09,0.09,0.18,0.09,0.18,1.83,Sag ayak,31-320,14.0,9.0,7.0,4.0,3.0,7.0,8.0,11.0,7.0,4.0,15.0,37.0,2.0
Paul Nebel,Mainz 05,On Numara,23.0,24000000.0,1.0,0.0,2.0,10.0,804.0,GER,MF,Bundesliga (ALM),10.0,8.9,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.8,2.9,12.0,28.0,75.0,0.11,0.0,0.11,0.11,0.11,0.23,0.09,0.32,0.23,0.32,1.69,Cift ayak,23-068,11.0,6.0,3.0,2.0,6.0,4.0,7.0,7.0,1.0,6.0,5.0,8.0,0.0
Benedict Hollerbach,Mainz 05,Santrafor,24.0,12000000.0,0.0,2.0,0.7,10.0,616.0,GER,MF,Bundesliga (ALM),9.0,6.8,2.0,0.0,0.0,0.0,0.0,0.0,0.7,1.1,1.8,18.0,8.0,50.0,0.0,0.29,0.29,0.0,0.29,0.11,0.16,0.27,0.11,0.27,1.81,Cift ayak,24-214,7.0,4.0,4.0,3.0,0.0,0.0,3.0,9.0,1.0,8.0,1.0,3.0,1.0
Andreas Hanche-Olsen,Mainz 05,Stoper,28.0,6000000.0,0.0,1.0,0.3,12.0,761.0,NOR,DF,Bundesliga (ALM),7.0,8.5,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.5,0.9,0.0,18.0,1.0,0.0,0.12,0.12,0.0,0.12,0.04,0.06,0.1,0.04,0.1,1.85,Sag ayak,28-334,8.0,4.0,3.0,4.0,1.0,1.0,3.0,12.0,8.0,4.0,14.0,64.0,2.0
Silvan Widmer,Mainz 05,Sag Bek,32.0,1200000.0,1.0,0.0,1.0,9.0,506.0,SUI,DF,Bundesliga (ALM),6.0,5.6,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.1,1.0,4.0,15.0,21.0,0.18,0.0,0.18,0.18,0.18,0.17,0.01,0.18,0.17,0.18,1.83,Sag ayak,32-287,15.0,12.0,10.0,4.0,1.0,5.0,2.0,11.0,2.0,9.0,4.0,17.0,0.0
Stefan Bell,Mainz 05,Stoper,34.0,800000.0,0.0,1.0,0.3,11.0,490.0,GER,DF,Bundesliga (ALM),6.0,5.4,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.5,0.8,3.0,11.0,1.0,0.0,0.18,0.18,0.0,0.18,0.05,0.09,0.14,0.05,0.14,1.92,Sag ayak,34-115,5.0,4.0,4.0,1.0,0.0,4.0,1.0,9.0,5.0,4.0,10.0,43.0,0.0
Arnaud Nordin,Mainz 05,Sag Kanat,27.0,5000000.0,0.0,0.0,0.8,11.0,467.0,FRA,DF,Bundesliga (ALM),5.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,1.1,18.0,12.0,37.0,0.0,0.0,0.0,0.0,0.0,0.15,0.06,0.22,0.15,0.22,1.7,Cift ayak,27-183,10.0,6.0,3.0,6.0,1.0,5.0,3.0,9.0,1.0,8.0,4.0,8.0,0.0
Lennard Maloney,Mainz 05,On Libero,26.0,3500000.0,0.0,0.0,0.3,8.0,394.0,USA,DF,Bundesliga (ALM),4.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.4,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.08,0.07,0.08,1.88,Sag ayak,26-070,3.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,6.0,20.0,0.0
Anthony Caci,Mainz 05,Sag Bek,28.0,12000000.0,0.0,0.0,0.3,4.0,310.0,FRA,DF,Bundesliga (ALM),4.0,3.4,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.4,0.7,8.0,25.0,30.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,1.84,Cift ayak,28-169,5.0,3.0,1.0,1.0,3.0,0.0,1.0,5.0,1.0,4.0,3.0,8.0,0.0
Nelson Weiper,Mainz 05,Santrafor,20.0,15000000.0,0.0,0.0,1.3,12.0,436.0,GER,FW,Bundesliga (ALM),3.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.3,1.5,5.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.26,0.05,0.31,0.26,0.31,1.92,Sag ayak,20-275,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0
Armindo Sieb,Mainz 05,Forvet Arkasi,22.0,4000000.0,2.0,0.0,1.6,11.0,326.0,GER,FW,Bundesliga (ALM),2.0,3.6,2.0,2.0,0.0,0.0,1.0,0.0,1.6,0.4,1.9,10.0,2.0,25.0,0.55,0.0,0.55,0.55,0.55,0.44,0.1,0.54,0.44,0.54,1.75,Cift ayak,22-303,1.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,2.0,1.0
Nikolas Veratschnig,Mainz 05,Sag Bek,22.0,1500000.0,0.0,0.0,0.0,10.0,259.0,AUT,DF,Bundesliga (ALM),2.0,2.9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,6.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,1.8,Sag ayak,22-327,5.0,2.0,5.0,0.0,0.0,4.0,2.0,5.0,2.0,3.0,7.0,9.0,0.0
Sota Kawasaki,Mainz 05,On Libero,24.0,1200000.0,0.0,0.0,0.1,6.0,219.0,JPN,DF,Bundesliga (ALM),2.0,2.4,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,1.72,Cift ayak,24-140,10.0,4.0,6.0,3.0,1.0,7.0,3.0,5.0,3.0,2.0,1.0,7.0,0.0
William Bøving,Mainz 05,Santrafor,22.0,8000000.0,0.0,1.0,0.0,4.0,183.0,DEN,MF,Bundesliga (ALM),2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.3,4.0,3.0,10.0,0.0,0.49,0.49,0.0,0.49,0.01,0.15,0.16,0.01,0.16,1.76,Cift ayak,22-291,4.0,1.0,3.0,1.0,0.0,2.0,1.0,7.0,1.0,6.0,2.0,6.0,0.0
Kacper Potulski,Mainz 05,Stoper,18.0,200000.0,1.0,0.0,0.2,2.0,180.0,POL,DF,Bundesliga (ALM),2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.0,2.0,0.0,0.5,0.0,0.5,0.5,0.5,0.1,0.0,0.1,0.1,0.1,1.95,Sag ayak,18-059,2.0,2.0,1.0,1.0,0.0,1.0,3.0,8.0,5.0,3.0,6.0,20.0,0.0
Maxim Leitsch,Mainz 05,Stoper,27.0,1500000.0,0.0,0.0,0.0,3.0,162.0,GER,DF,Bundesliga (ALM),2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,1.89,Sol ayak,27-213,3.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,5.0,12.0,0.0
Fabio Moreno Fell,Mainz 05,Santrafor,25.0,75000.0,0.0,0.0,0.1,1.0,76.0,GER,FW,Bundesliga (ALM),1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,1.89,Sag ayak,25-196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Ben Bobzien,Mainz 05,Santrafor,22.0,1200000.0,0.0,0.0,0.0,1.0,9.0,GER,FW,Bundesliga (ALM),0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,Sag ayak,22-232,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Bastoni,Internazionale,Stoper,26.0,80000000.0,1.0,3.0,0.9,14.0,1223.0,ITA,DF,Serie A (ITA),14.0,13.6,4.0,1.0,0.0,0.0,1.0,0.0,0.9,1.0,2.0,26.0,80.0,51.0,0.07,0.22,0.29,0.07,0.29,0.07,0.08,0.14,0.07,0.14,1.9,Sol ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolo Barella,Internazionale,Merkez Orta Saha,28.0,65000000.0,1.0,4.0,1.5,15.0,1189.0,ITA,MF,Serie A (ITA),14.0,13.2,5.0,1.0,0.0,0.0,2.0,0.0,1.5,4.2,5.7,37.0,111.0,62.0,0.08,0.3,0.38,0.08,0.38,0.11,0.32,0.43,0.11,0.43,1.75,Sag ayak,Veri Yok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
